freq,s_adj,age,unit,sex,geo,time,value
M,SA,TOTAL,PC_ACT,T,NL,1997-12,5.8
M,SA,TOTAL,PC_ACT,T,NL,1998-01,5.7
M,SA,TOTAL,PC_ACT,T,NL,1998-02,5.6
M,SA,TOTAL,PC_ACT,T,NL,1998-03,5.5
M,SA,TOTAL,PC_ACT,T,NL,1998-04,5.4
M,SA,TOTAL,PC_ACT,T,NL,1998-05,5.3
M,SA,TOTAL,PC_ACT,T,NL,1998-06,5.2
M,SA,TOTAL,PC_ACT,T,NL,1998-07,5.1
M,SA,TOTAL,PC_ACT,T,NL,1998-08,5.0
M,SA,TOTAL,PC_ACT,T,NL,1998-09,4.9
M,SA,TOTAL,PC_ACT,T,NL,1998-10,4.8
M,SA,TOTAL,PC_ACT,T,NL,1998-11,4.7
M,SA,TOTAL,PC_ACT,T,NL,1998-12,4.6
M,SA,TOTAL,PC_ACT,T,NL,1999-01,4.6
M,SA,TOTAL,PC_ACT,T,NL,1999-02,4.5
M,SA,TOTAL,PC_ACT,T,NL,1999-03,4.4
M,SA,TOTAL,PC_ACT,T,NL,1999-04,4.4
M,SA,TOTAL,PC_ACT,T,NL,1999-05,4.3
M,SA,TOTAL,PC_ACT,T,NL,1999-06,4.3
M,SA,TOTAL,PC_ACT,T,NL,1999-07,4.2
M,SA,TOTAL,PC_ACT,T,NL,1999-08,4.2
M,SA,TOTAL,PC_ACT,T,NL,1999-09,4.1
M,SA,TOTAL,PC_ACT,T,NL,1999-10,4.1
M,SA,TOTAL,PC_ACT,T,NL,1999-11,4.0
M,SA,TOTAL,PC_ACT,T,NL,1999-12,4.0
M,SA,TOTAL,PC_ACT,T,NL,2000-01,3.9
M,SA,TOTAL,PC_ACT,T,NL,2000-02,3.9
M,SA,TOTAL,PC_ACT,T,NL,2000-03,3.8
M,SA,TOTAL,PC_ACT,T,NL,2000-04,3.8
M,SA,TOTAL,PC_ACT,T,NL,2000-05,3.7
M,SA,TOTAL,PC_ACT,T,NL,2000-06,3.7
M,SA,TOTAL,PC_ACT,T,NL,2000-07,3.6
M,SA,TOTAL,PC_ACT,T,NL,2000-08,3.6
M,SA,TOTAL,PC_ACT,T,NL,2000-09,3.5
M,SA,TOTAL,PC_ACT,T,NL,2000-10,3.4
M,SA,TOTAL,PC_ACT,T,NL,2000-11,3.4
M,SA,TOTAL,PC_ACT,T,NL,2000-12,3.3
M,SA,TOTAL,PC_ACT,T,NL,2001-01,3.2
M,SA,TOTAL,PC_ACT,T,NL,2001-02,3.2
M,SA,TOTAL,PC_ACT,T,NL,2001-03,3.2
M,SA,TOTAL,PC_ACT,T,NL,2001-04,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-05,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-06,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-07,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-08,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-09,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-10,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-11,3.1
M,SA,TOTAL,PC_ACT,T,NL,2001-12,3.2
M,SA,TOTAL,PC_ACT,T,NL,2002-01,3.2
M,SA,TOTAL,PC_ACT,T,NL,2002-02,3.3
M,SA,TOTAL,PC_ACT,T,NL,2002-03,3.4
M,SA,TOTAL,PC_ACT,T,NL,2002-04,3.4
M,SA,TOTAL,PC_ACT,T,NL,2002-05,3.5
M,SA,TOTAL,PC_ACT,T,NL,2002-06,3.6
M,SA,TOTAL,PC_ACT,T,NL,2002-07,3.7
M,SA,TOTAL,PC_ACT,T,NL,2002-08,3.8
M,SA,TOTAL,PC_ACT,T,NL,2002-09,3.9
M,SA,TOTAL,PC_ACT,T,NL,2002-10,4.0
M,SA,TOTAL,PC_ACT,T,NL,2002-11,4.1
M,SA,TOTAL,PC_ACT,T,NL,2002-12,4.2
M,SA,TOTAL,PC_ACT,T,NL,2003-01,5.3
M,SA,TOTAL,PC_ACT,T,NL,2003-02,5.4
M,SA,TOTAL,PC_ACT,T,NL,2003-03,5.6
M,SA,TOTAL,PC_ACT,T,NL,2003-04,5.7
M,SA,TOTAL,PC_ACT,T,NL,2003-05,5.8
M,SA,TOTAL,PC_ACT,T,NL,2003-06,5.9
M,SA,TOTAL,PC_ACT,T,NL,2003-07,6.0
M,SA,TOTAL,PC_ACT,T,NL,2003-08,6.1
M,SA,TOTAL,PC_ACT,T,NL,2003-09,6.2
M,SA,TOTAL,PC_ACT,T,NL,2003-10,6.2
M,SA,TOTAL,PC_ACT,T,NL,2003-11,6.4
M,SA,TOTAL,PC_ACT,T,NL,2003-12,6.5
M,SA,TOTAL,PC_ACT,T,NL,2004-01,6.5
M,SA,TOTAL,PC_ACT,T,NL,2004-02,6.6
M,SA,TOTAL,PC_ACT,T,NL,2004-03,6.7
M,SA,TOTAL,PC_ACT,T,NL,2004-04,6.9
M,SA,TOTAL,PC_ACT,T,NL,2004-05,7.0
M,SA,TOTAL,PC_ACT,T,NL,2004-06,6.9
M,SA,TOTAL,PC_ACT,T,NL,2004-07,6.8
M,SA,TOTAL,PC_ACT,T,NL,2004-08,6.7
M,SA,TOTAL,PC_ACT,T,NL,2004-09,6.7
M,SA,TOTAL,PC_ACT,T,NL,2004-10,6.8
M,SA,TOTAL,PC_ACT,T,NL,2004-11,6.8
M,SA,TOTAL,PC_ACT,T,NL,2004-12,7.0
M,SA,TOTAL,PC_ACT,T,NL,2005-01,7.0
M,SA,TOTAL,PC_ACT,T,NL,2005-02,7.2
M,SA,TOTAL,PC_ACT,T,NL,2005-03,7.1
M,SA,TOTAL,PC_ACT,T,NL,2005-04,7.1
M,SA,TOTAL,PC_ACT,T,NL,2005-05,7.2
M,SA,TOTAL,PC_ACT,T,NL,2005-06,7.0
M,SA,TOTAL,PC_ACT,T,NL,2005-07,7.0
M,SA,TOTAL,PC_ACT,T,NL,2005-08,6.9
