Id,Measure,ValueAttribute,Value,StringValue,Generatie,Geslacht,Migratieachtergrond,Perioden
2126532,M000167,None,141.0,,T001040,T001038,H008718,2000MM08
2126538,M000167,None,202.0,,T001040,T001038,H008718,2000MM09
2126544,M000167,None,197.0,,T001040,T001038,H008718,2000MM10
2126550,M000167,None,207.0,,T001040,T001038,H008718,2000MM11
2126556,M000167,None,109.0,,T001040,T001038,H008718,2000MM12
2126568,M000167,None,198.0,,T001040,T001038,H008718,2001MM01
2126574,M000167,None,238.0,,T001040,T001038,H008718,2001MM02
2126580,M000167,None,205.0,,T001040,T001038,H008718,2001MM03
2126586,M000167,None,158.0,,T001040,T001038,H008718,2001MM04
2126592,M000167,None,219.0,,T001040,T001038,H008718,2001MM05
2126598,M000167,None,128.0,,T001040,T001038,H008718,2001MM06
2126604,M000167,None,136.0,,T001040,T001038,H008718,2001MM07
2126610,M000167,None,203.0,,T001040,T001038,H008718,2001MM08
2126616,M000167,None,226.0,,T001040,T001038,H008718,2001MM09
